audio_stop_number,object_id,title,media_url,in_gallery_version,stop_type
960,31146,"Sunburst by Dale Chihuly",w142.MP3,0,NULL
960,31146,"Sunburst by Dale Chihuly",w960.MP3,0,NULL
000,,"Guatemalan Textiles Panel",p000.mp3,1,quick
001,83645,"Perugini, I know a maiden fair to see",p001.mp3,1,quick
005,2903,"Bierstadt, The Merced River",p005.mp3,1,quick
006,303,"Koehler, Rainy Evening on Henn Ave.",p006.mp3,1,quick
007,,"Volk, Portrait of John Bradstreet",p007.mp3,1,quick
008,12138,"Bust of Diana",p008.mp3,1,quick
010,10513,"Ault, Brook in the Mountains",p010.mp3,1,quick
011,,"Medieval",p011.mp3,1,quick
012,,"17th & 18th C",p012.mp3,1,quick
014,63571,"Biedermeier, Secretary",p014.mp3,1,quick
015,2796,"Crazy Quilt",p015.mp3,1,quick
016,2505,"Read, Portrait of a Boy",p016.mp3,1,quick
018,83749,"Jacquard Coverlet",p018.mp3,1,quick
019,,"Quilt",p019.mp3,1,quick
020,,"Dualism & Feline Egypt God Figures",p020.mp3,1,quick
021,1234,"Monet, Seashore at Sainte-Adresse",p021.mp3,1,quick
022,4194,"Rodin, The Cathedral",p022.mp3,1,quick
023,,"Auguste, Study for Burgher of Calais",p023.mp3,1,quick
024,802,"Cezanne, Chestnut Trees",p024.mp3,1,quick
025,129,"Pissarro, Place du Theatre",p025.mp3,1,quick
026,3903,"Degas, Woman in Tub",p026.mp3,1,quick
027,1414,"Signac, Snow, Boulevard de Clichy",p027.mp3,1,quick
028,30788,"Brocard, Two Handled Flasks",p028.mp3,1,quick
029,214,"Deck, Faince Vase",p029.mp3,1,quick
030,5431,"Prignot, Etruscan Table",p030.mp3,1,quick
031,1510,"Gerome, Young Greeks in the Mosque",p031.mp3,1,quick
032,2135,"Bouguereau, Temptation",p032.mp3,1,quick
033,2564,"Ittenbach, Madonna & Child",p033.mp3,1,quick
034,2607,"Coleman, The Bronze Horses of San Marco",p034.mp3,1,quick
035,1397,"Millet, Seated Shepherdess",p035.mp3,1,quick
036,2224,"Carpeaux, Les Trois Graces",p036.mp3,1,quick
037,1977,"Corot, Silenus",p037.mp3,1,quick
038,60157,"Huet, Caretakers Cottage",p038.mp3,1,quick
039,2810,"Barye, Panther Devouring a Rabbit",p039.mp3,1,quick
040,,"Egyptian Eye Symbols",p040.mp3,1,quick
041,4946,"Chapuis, Etruscan-Style Chairs",p041.mp3,1,quick
042,2494,"Chinard, Bust of General Brue",p042.mp3,1,quick
043,,"Gericault, Portrait of a Young Man",p043.mp3,1,quick
044,58,"West, Destruction of the Beast and the False Prophet",p044.mp3,1,quick
045,3061,"Thomire, Clock with Vestals",p045.mp3,1,quick
046,1664,"Reynolds, The Child Baptist in the Wilderness",p046.mp3,1,quick
047,1838,"Unknown, Lady at her Toilette",p047.mp3,1,quick
049,453,"Caffieri, Portrait Bust of M. de Neuville",p049.mp3,1,quick
059,,"20th C Textiles Panel - Jack Lenor Larsen",p059.mp3,1,quick
070,61823,"Landscape with Scholar Viewing a Waterfall",p070.mp3,1,quick
077,1317,"Guardi, View up the Grand Canal",p077.mp3,1,quick
078,1435,"Basin with Hercules and Cacus",p078.mp3,1,quick
079,1673,"Caneletto, The Grand Canal",p079.mp3,1,quick
080,108926,"Claesz, Still LIfe",p080.mp3,1,quick
081,2808,"Wouwerman, Merry and Rowdy Peasants",p081.mp3,1,quick
083,3156,"Chantilly Factory, Bust of Louis XV",p083.mp3,1,quick
084,2603,"Cressent, Commode",p084.mp3,1,quick
085,2730,"Feilt, Lady's Writing Desk",p085.mp3,1,quick
086,,"Hogarth, The Sleeping Congregation",p086.mp3,1,quick
088,1726,"Rube, Hebe and the Eagle of Jupiter",p088.mp3,1,quick
089,1959,"Clesinger, Bacchante and Faun",p089.mp3,1,quick
090,3276,"Belleuse, Love and Friendship",p090.mp3,1,quick
091,1934,"Courbet, Chateau at Ornans",p091.mp3,1,quick
092,4284,"Crema, Triptych: Prisoners of the Mtn. Mist",p092.mp3,1,quick
093,,"Reiber, Clock",p093.mp3,1,quick
094,4381,"Herter Brothers, Chest of Drawers w/ Mirror",p094.mp3,1,quick
095,1417,"Vuillard, The Sunny Room",p095.mp3,1,quick
096,1416,"Vuillard, Place St. Augustin",p096.mp3,1,quick
097,1477,"Signac, Blessing of the Tuna Fleet",p097.mp3,1,quick
098,5373,"Wheel Lock Rifles",p098.mp3,1,quick
099,3589,"Mignard, Venus and Adonis",p099.mp3,1,quick
100,7020,"Marinari, Salome with Head of St John the Baptist",p100.mp3,1,quick
101,3385,"Standing Figure w/Pan Pipes",p101.mp3,1,quick
102,4042,"Tevau, (feather currency)",p102.mp3,1,quick
103,177,"Tahiti, Turtle",p103.mp3,1,quick
105,,"Scholar's Study",p105.mp3,1,quick
106,4324,"Jade Mountain  (2 labels)",p106.mp3,1,quick
107,,"Landscape of the Four Seasons Screen",p107.mp3,1,quick
108,1602,"White Herons in Plum and Willow screen",p108.mp3,1,quick
109,676,"A King Picnicking in the Mountains",p109.mp3,1,quick
110,611,"Winged Genius",p110.mp3,1,quick
112,1235,"Luba, Dance Mask",p112.mp3,1,quick
113,4855,"Mangbetu, Vessel in Shape of Female Head",p113.mp3,1,quick
114,4030,"Yombe, Mother and Child",p114.mp3,1,quick
115,1854,"Kongo, Nkisi Nkondi",p115.mp3,1,quick
116,5637,"Bwa, Plank Mask",p116.mp3,1,quick
117,3210,"Diptych with scenes from the life of Christ",p117.mp3,1,quick
120,,"Southwest Pottery and Basketry Panel",p120.mp3,1,quick
122,,"Great Plains Region Panel",p122.mp3,1,quick
123,,"Ernest Whiteman, Untitled",p123.mp3,1,quick
124,4418,"Gabriel Metsu, Portrait of a Lady",p124.mp3,1,quick
125,5747,"Claude Lorrain, Pastoral Landscape",p125.mp3,1,quick
126,1348,"Nicolas Poussin, The Death of Germanicus",p126.mp3,1,quick
127,529,"Rembrandt van Rijn, Lucretia",p127.mp3,1,quick
128,,"Pierre-Paul Prud'hon, The Union of Love and Friendship",p128.mp3,1,quick
129,1451,"Paul de Lamerie, Wine cistern",p129.mp3,1,quick
130,1629,"Bertel Thorvaldsen, Ganymede and the Eagle",p130.mp3,1,quick
131,1226,"Francisco de Goya, Self-Portrait with Dr. Arrieta",p131.mp3,1,quick
132,53,"Gustave Courbet, Deer in the Forest",p132.mp3,1,quick
133,,"Claude Monet, Grainstack: Sun in the Mist",p133.mp3,1,quick
134,1218,"Vincent van Gogh, Olive Trees",p134.mp3,1,quick
136,1239,"Rodin, The Age of Bronze",p136.mp3,1,quick
137,601,"Paul Gauguin, Under the Pandanus",p137.mp3,1,quick
140,,"Revere, Tea service",p140.mp3,1,quick
141,6785,"Attribued to August Thonet,  Rocking chaise",p141.mp3,1,quick
144,31247,"McKim, Mead, White, Model of original scheme for the MIA",p144.mp3,1,quick
145,2421,"Aslak Lie, Cupboard",p145.mp3,1,quick
146,3363,"Frank Lloyd Wright, Side chair",p146.mp3,1,quick
148,1270,"Max Beckmann, Blindman's Buff",p148.mp3,1,quick
150,3885,"Bob Thompson, Homage to Nina Simone",p150.mp3,1,quick
151,62,"Boudin, Vacationers at the Beach at Trouville",p151.mp3,1,quick
157,1341,"Anthony van Dyck, The Betrayal of Christ",p157.mp3,1,quick
164,59614,"Zenshin-an Teahouse",p164.mp3,1,quick
167,,"Tsujimura Shiro, Ido-style Teabowl",p167.mp3,1,quick
171,,"Chinese Lacquer Panel",p171.mp3,1,quick
176,5196,"Scholar in Landscape",p176.mp3,1,quick
177,131,"Avalokitesvara, Kuan Yin",p177.mp3,1,quick
180,59842,"Ying, Angling in the Shade Amid Summer Trees",p180.mp3,1,quick
181,,"Li Liu-fang, Landscape Album",p181.mp3,1,quick
182,30702,"Chou Tun-I Gazing Out Over Lotus",p182.mp3,1,quick
183,46241,"Money Tree",p183.mp3,1,quick
184,30633,"The Monk Ananda",p184.mp3,1,quick
185,,"Moon Gate Panel",p185.mp3,1,quick
188,3304,"River Landscape",p188.mp3,1,quick
194,191,"Fatin-Latour, Portrait of the Artist Alphonse Legros",p194.mp3,1,quick
209,62516,"Sinel,  Model S' Scale",p209.mp3,1,quick
210,,"Modernism Panel",p210.mp3,1,quick
223,,"Louis H. Sullivan, Pair of elevator grilles, frieze & over grille",p223.mp3,1,quick
224,,"George Washington Maher, Coffee and Tea Service",p224.mp3,1,quick
226,81074,"Hosmer, Medusa Bust",p226.mp3,1,quick
227,12832,"Dressing Bureau",p227.mp3,1,quick
228,6176,"Wendel, The Butterfly Catchers",p228.mp3,1,quick
229,61319,"Sisley, Le Pont de Moret",p229.mp3,1,quick
230,1478,"Kpele Kpele Mask",p230.mp3,1,quick
234,75993,"Palace Door",p234.mp3,1,quick
235,320,"Rubens, Allegory Union of England and Scotland",p235.mp3,1,quick
236,31377,"Set of Four Wine Coolers",p236.mp3,1,quick
237,83723,"Silver Dressing Set",p237.mp3,1,quick
238,55601,"Chermayeff, Model AC74C Radio",p238.mp3,1,quick
240,84289,"Coosh Ripple Egg Chair",p240.mp3,1,quick
242,62510,"Jacobsz, Kitchen Still Life",p242.mp3,1,quick
245,4312,"Red Bear, Akicita Waste (Good Soldier)",p245.mp3,1,quick
246,2121,"Lakota Dress",p246.mp3,1,quick
247,,"Tsimshan Frontlet",p247.mp3,1,quick
248,96917,"Bandolier Bags Spot-Stitched",p248.mp3,1,quick
248,2116,"Bandolier Bags Spot-Stitched",p248.mp3,1,quick
249,60509,"Lakota, Winter Count",p249.mp3,1,quick
252,4867,"Portrait - Priest Gyoki",p252.mp3,1,quick
254,6274,"Purcell, Surprise Point Chair",p254.mp3,1,quick
258,4649,"Purcell, Side Chair",p258.mp3,1,quick
259,5995,"Purcell & Elmslie, Dining Chair",p259.mp3,1,quick
261,4047,"Purcell & Elmslie, Ceiling Light Fixture",p261.mp3,1,quick
262,5737,"Wright, Weed Holder",p262.mp3,1,quick
263,7177,"Poutokomanawa",p263.mp3,1,quick
264,3386,"Malanggan Frieze",p264.mp3,1,quick
265,57822,"Olmec Mask",p265.mp3,1,quick
266,5992,"Colima Dog",p266.mp3,1,quick
267,742,"Tripod Vessel in the Shape of Jaguar",p267.mp3,1,quick
268,33688,"Bandolier Bags Loomed",p268.mp3,1,quick
269,3077,"Landseer, The Cat's Paw",p269.mp3,1,quick
270,592,"Hobbema, Wooded Landscape w/ Waterfall",p270.mp3,1,quick
273,1785,"Tissot, Journey of the Magi",p273.mp3,1,quick
274,76,"Sargent, Luxembourg Gardens at Twilight",p274.mp3,1,quick
275,1255,"Shiele, Portrait of Paris von Gutersloh",p275.mp3,1,quick
276,1476,"de Morales, Man of Sorrows",p276.mp3,1,quick
277,,"Titian, The Temptation of Christ",p277.mp3,1,quick
278,4706,"Ponte, The Element of Water",p278.mp3,1,quick
279,1324,"Cranach the Elder, Portrait of Anna Buchner",p279.mp3,1,quick
282,1398,"Marriage Casket",p282.mp3,1,quick
283,3211,"Reliquary Head of Saint Theobald",p283.mp3,1,quick
284,45813,"Stencil from Chicago Stock Exchange",p284.mp3,1,quick
285,,"Ellis, Desk",p285.mp3,1,quick
286,175,"Model For Francis Little House",p286.mp3,1,quick
287,3730,"Maher, Armchair",p287.mp3,1,quick
288,5665,"Elmslie, Screen Fragment",p288.mp3,1,quick
289,,"Amulung, Glass Candlestick",p289.mp3,1,quick
290,33713,"Sevres, Benjamin Franklin Plate",p290.mp3,1,quick
293,,"Bakewell, Celery Vases",p293.mp3,1,quick
294,45278,"Cologne Bottle  Falcon/Apsley",p294.mp3,1,quick
295,27055,"Amethyst Footed Compote",p295.mp3,1,quick
296,5167,"Yellow, Anthropologie",p296.mp3,1,quick
297,,"Moccasin Case",p297.mp3,1,quick
298,5890,"Nakoda, A'Ani Beaded Moccasins",p298.mp3,1,quick
299,5968,"Iatmul Mei Mask",p299.mp3,1,quick
300,4558,"Inca, Kero",p300.mp3,1,quick
307,3361,"Majnun in the Wilderness, India",p307.mp3,1,quick
309,,"Central Thai Ceramics Panel",p309.mp3,1,quick
313,,"Dressing the Torah Panel",p313.mp3,1,quick
320,1512,"Fra Angelico, Saint Benedict",p320.mp3,1,quick
321,,"Japanese Porcelain Panel",p321.mp3,1,quick
322,3213,"Yamada Doan, Tiger and Dragon Screen",p322.mp3,1,quick
323,2225,"Madonna & Child D'Ancona Enthroned",p323.mp3,1,quick
324,1508,"Nolde, Evening Glow",p324.mp3,1,quick
325,4464,"Title Page from a Buddhist Manuscript",p325.mp3,1,quick
326,4829,"Raja Bikram and the Angels, India",p326.mp3,1,quick
327,67033,"Tanshin, Phoenixes and Paulownia",p327.mp3,1,quick
332,63394,"Kondo Takahiro, Galaxy",p332.mp3,1,quick
333,,"Japanese Lacquer Panel",p333.mp3,1,quick
334,1375,"Bernini, Portrait Bust of Pope Clement X",p334.mp3,1,quick
335,63393,"Zenji, Shining Sea Reflecting on Clouds",p335.mp3,1,quick
336,2205,"Bust of Madame Serilly",p336.mp3,1,quick
337,,"Scenes of Rice Cultivation, Set of 4 Folding Screens",p337.mp3,1,quick
338,5929,"Shimaoka Tatsuzo, Bowl",p338.mp3,1,quick
340,18573,"Sansetsu, Taoist Immortals",p340.mp3,1,quick
342,,"Ewer Stand",p342.mp3,1,quick
344,24494,"Tagasode (Whose Sleeves?)",p344.mp3,1,quick
344,24494,"Tagasode (Whose Sleeves?)",p344.mp3,1,quick
345,12948,"Standing Buddha",p345.mp3,1,quick
345,646,"Pair of Bodhisattvas",p345.mp3,1,quick
346,807,"Bodhisattva Kuan-Yin and Flying Apsaras",p346.mp3,1,quick
347,40660,"Nine Dragon Box",p347.mp3,1,quick
347,40663,"Cover of a Chun Box",p347.mp3,1,quick
347,40633,"Octagonal Box",p347.mp3,1,quick
347,5192,"Cosmetic Cabinet",p347.mp3,1,quick
348,60728,"Celestial Horse (2 labels)",p348.mp3,1,quick
349,12088,"Commemorative Gate",p349.mp3,1,quick
351,1500,"Lu, A Poet Contemplating a Waterfall",p351.mp3,1,quick
352,,"Baccarat, Punch Bowl Set",p352.mp3,1,quick
353,32122,"Seated Kuan-Yin",p353.mp3,1,quick
356,97646,"Ancient Lacquer Ware",p356.mp3,1,quick
357,5790,"Portrait of Confucius",p357.mp3,1,quick
360,1413,"Monet, The Japonese Footbridge",p360.mp3,1,quick
361,887,"Head of the Buddha, Thailand or Cambodia",p361.mp3,1,quick
361,889,"Head of a Buddha, Cambodia",p361.mp3,1,quick
361,1752,"Head from an Image of Vishnu or Deified King, Cambodia",p361.mp3,1,quick
362,4379,"Gowri Shankaram Necklace",p362.mp3,1,quick
363,376,"Shiva Nataraja (Lord of the Dance)",p363.mp3,1,quick
364,5178,"Attendant to the King of Hell",p364.mp3,1,quick
365,,"Korean Celadon Panel",p365.mp3,1,quick
366,,"Ksitigarbha and the Ten Kings of Hell",p366.mp3,1,quick
368,3675,"Pair of Palanquin Hooks",p368.mp3,1,quick
369,,"Yoruba, Pair of Ere Ibeji",p369.mp3,1,quick
