Audio guide Number,Title of work,Artist last name,Artist first name,Date,Gallery number,Summary,Comments,Keep?
960,Sunburst,Chihuly,Dale,1999,100,"Talks about the artist's work process, details about the weight of the object","Interesting ""fun facts""",Yes
146,"Side Chair, one of four",Wright,Frank Lloyd,1903,300,"Tall backs, not comfortable, talks about Wright's desire to design all parts 
of a house including furniture",No audio available online,Yes
223,"Pair of elevator grilles, frieze, and overgrille",Sullivant,Louis Henri,1893,300,"Sullivan's new style, breaking away from historical sources; inspired by 
plants of the American prairie ",No audio available online,X
224,Hot water kettle and stand from the coffee and tea service for Rockledge,Maher,George Washington,1912,300,"Describes decorative elements, marks of manufacturing, points out other 
objects from same house",No audio available online,X
254,"""Surprise Point"" chair",Elmslie,George Grant,1913,300,"Explains meaning of name ""surprise point"", nicknames and jokes to 
welcome people into new modern style, talks about Purcell's house",No results when searched,X
258,"Side chair, one of four",Purcell,William Gray,1914,300,"Different from other chairs in the gallery, made from pine & horsehair, 
points out color of upholstery",Audio information is somewhat repetitive of the labels information.,No
259,Dining Chair,Elmslie,George Grant,1910,300,"Talks about house where the chair was, design elements of the chair -
diagonals ",Offers unique information,Yes
262,Weed Holder,Wright,Frank Lloyd,1895,300,"Celebration of humble plants, adding texture as contrast to geometry in 
the home, different way of exploring the natural world",Helps make sense of the pieces title,Yes
284,Stencil from the Chicago Stock Exchange,Sullivan & Millet,,1893,300,"Used to define upper edges of the building, points out elevator grills were 
from same building, points out colors","Good, builds on what is said in the label",Yes
285,Desk,Harvey,Ellis,1903,300,"Designed for Stickley Furniture Company, fused sense of adventurousness 
in the company, details of the desk",No audio available online,X
286,Architectural Model,Wright,Frank Lloyd,1998,300,"One of Wright's last large Prairie school houses, model commissioned 
by museum",Somewhat off topic from the label but still interesting.,No
287,Armchair,Maher,George Washington,1912,300,"Points out similarities with the tea service from same house, repetition of 
motifs to create harmonious interior",Relates to other pieces in the gallery,Yes
570,Dining Table and Chairs,Wright,Frank Lloyd,1904,300,"Points out octagonal forms, manipulation of space, bringing people together",No audio available online,X
571,Skylight panel from a set of six,Elmslie & Purcell,,1913,300,Describes how they reproduced the missing three panels,Somewhat repetitive,No
834,Frank Lloyd Wright Hallway,Wright,Frank Lloyd,1912,300,"Talks about design on windows, points out low ceilings, Wright liked to 
create sense of compression in hallways",Necessary,Yes
374,Rural Delivery,Wyeth,Newell Convers,1906,301,Talks about the cereal,"Different voice than previous two, they should 
all go together smoothly",No
314,Rural Delivery,Wyeth,Newell Convers,1906,301,"Talks about cereal, imagery consistent with artist's western style, points out 
details of the image","""""",X
512,Bronco Buster,Wyeth,Newell Convers,1906,301,"Briefly mentions Cream of Wheat, describes cowboy attempting to break 
the horse",Offers valuable information,Yes
513,A 'Bear' Chance,Goodwin,Philip R.,1907,301,"Describes commissions by Cream of Wheat by famous artists, human 
quality given to the bear","Would make more sense to come before 
Bronco Buster",No
542,The Death Song of Lone Wolf,Russell,Charles M.,1901,301,"Honor of Native American people, figure singing final song, knows he won't 
make it out of battle, talks about importance of the artist","Good, I like it",Yes
543,The Signal Fire,Russell,Charles M.,1897,301,"Background of artist, great depictions of horses, details of beadwork & 
clothing in this painting",Artist info slightly redundant,No
544,Buffalo Hunt,Russell,Charles M.,1892,301,"Artist probably never saw this (most buffalo were gone at this point), 
did research and talked to people","The Charles Russell ones go together, makes 
sense as long as you start in the right place",No
936,Stampede,Jackson,Harry,1958,301,"Points out details of the sculpture, artist depicted life he knew","Background noise could be distracting, 
also a little long",No
937,Platform Rocking Chair,Friedrich,Wenzel,1880,301,Closely describes materials,"Long, although interesting and prompts 
careful looking",Yes
006,Rainy Evening on Hennepin Avenue,Koehler,Robert,1902,302,"Important artist in Minneapolis, describes figures, points out old library",Meh.,No
452,"The Birthplace of Herbert Hoover, West Branch, Iowa",Wood,Grant,1931,302,Points out details of the landscape,Insightful but dry,No
851,"Mrs. T. in Cream Silk, No.2",Bellows,George,1920,302,"Talks about the subject of the portrait, unusual genre for the artist, points 
out use of color, details","Interesting, could be shorter",Yes
144,Model of original scheme for the Minneapolis Society of Fine Arts,"McKim, Mead, 
and White",,1912,303,"Talks about the ambitious size of the original plan, only a small 
part was actually built",Includes two guide #s: 144 & 835,No
503,Snake Jug,Pottery,Anna,1865,303,"Discusses the political sentiment, poking fun at temperance, 
points out Union troops who chasing Jefferson Davis",No audio available online,X
514,Theseus Slaying the Centaur Bianor,Barye,Antoine-Louis,1850,303,"Describes story behind the imagery, intention of artist & his interest in 
animals",Repetitive of label,No
526,"Lowry Hill, Minneapolis",Fournier,Alexis Jean,1888,303,"Orients the viewer, says that the Walker is now in the foreground, 
the background is the skyline of Minneapolis at the time","Good info, background music is distracting a bit",Yes
527,Mill Pond at Minneapolis,Fournier,Alexis Jean,1888,303,"Important role of the river, says you could see the same scene today. 
Orients the viewer in the image. ""Harmonious coexistence of industry 
and nature",Good,Yes
528,"Farnham's Mill at St. Anthony Falls, Minneapolis",Fournier,Alexis Jean,1888,303,"Says artist painted images for people's residences, points out details 
in the painting: texture of rocks, powerlines, light",Informative on artist,Yes
529,Cheever's Mill on the St. Croix River,Lewis,Henry,1847,303,"Discusses the artist's studio on the river, his book and work seen 
by Europeans","Pretty short, but the part about his makeshift 
floating studio is interesting",Yes
530,George of the St. Coix,Lewis,Henry,1847,303,"Artist traveled up the St Croix, kept a journal, painting shows harmony 
between humanity and nature",No results when searched,X
761,James J. Hill Presentation Tray,Tiffany & Co,,1884,303,Talks about the visual aspects of the tray and what they mean,"Good; Pointing out specific things about 
the tray make the viewer look more closely",Yes
844,Pair of torchères,Carrier-Belouse,Albert-Ernest,1862,303,"Points out differences in the two torcheres, mentions pulling of 
different materials","Interesting, I think this would make the viewer 
look more closely",Yes
938,Tornado over St. Paul,Holm,Julius,1893,303,"Talks about tornado, describes tornado of 1890 w/ eyewitness account, 
painting based on photograph",Interesting,Yes
016,Portrait of a Boy,Read,James B.,1856,304,"Genre of paintings -- portraits of dead children, symbols of death",Almost exactly the same as the label,No
145,Cupboard,Lie,Aslak,1870,304,"Talks about the inscription, the type of cupboard and the purpose 
it served as the centerpiece of the parlor",Very similar to the wall label,No
663,Portrait of Harriet Brown,Peck,Sheldon,1845,304,"Talks about the artist's style of portraiture, how the focus is on the 
sitter's religion and hands.","Starts out with ""these people..."", who?",Yes
874,Chest,Kvalen,Ivar,1777,304,"Daughter's dowry chest, her initials and wedding date are on it, points 
out size, reminds us she had to take all her things in it","Interesting to point out ""it looks big but..."" 
although difference from wall label about 
who emigrated - Sirid or her son?",Yes
046,The Child Baptist in the Wilderness,Reynolds,Sir Joshua,1776,305,"Unfinished, chance to look at the artist's style; typical subject but 
done in atypical way",,Yes
089,Bacchante and Satyr,Clesinger,Jean-Baptiste Auguste,1869,305,"Talks about subject matter, was popular at the time, plasticity of the marble",,Yes
128,The Union of Love and Friendship,Prud'hon,Pierre-Paul,1793,306,"Talks about Cupid, mystery of identity of the female figure, colors & 
shading, sfumato","Pretty brief, the part about the colors is helpful",Yes
373,"Portrait of Countess Maria Theresia Bucquoi, née Parr (1746-1818)",Vigee-LeBrun,Elisabeth Louise,1793,306,"Talks about pose of sitter vs. tumultous politics at time, artist 
was close with French aristocracy","Same information as label but presented 
more anecdotally",Yes
312,"Portrait of Countess Maria Theresia Bucquoi, née Parr (1746-1818)",Vigee-LeBrun,Elisabeth Louise,1793,306,"Mastery of oil painting technique, talks about the artist's process, 
desire for sitters to appear natural, naturalism, not realism","""""",X
473,"Portrait of Dorothy Beridge, nèe Gladwin (1760-1792)",Wright of Derby,Joseph,1777,306,"Points out details of pearls, realistic quality of painting, artist was a 
scientist, reason for the sitter's direct gaze out at the viewer","Interesting information related to scientists, artists, and the Enlightenmnet era",Yes
516,"The Rustic Bridge, Château de Méréville, France",Robert,Hubert,1785,306,Describes fashion of natural gardens,"Good, interesting",Yes
523,The Letter,Garnier,Michel,1791,306,Describes symbols that allude to the narrative in the two paintings,Contributes to the label,Yes
538,Portrait of Dr. Thomas Penrose,Gauffier,Louis,1798,306,"Artist left Rome for Florence, sitter has painting materials to 
show intelligence, planes going back into space",No audio available online,X
539,View of the Colosseum from the Orti Farnesiani,Boisselier,Antoine-Felix,1833,306,"Points out details of leaves, stylized landscape, puts this style of painting 
in historical perspective","References other artists, confusing for 
some visitors",
632,Selling Fish,Morland,George,1792,306,"Human drama, details, light","Really good, makes you look closer",Yes
659,Cottage Fire,Wright of Derby,Joseph,1786,306,"Contemporary event, different versions of same scene, juxtoposition, 
violence, compassionate statement by artist","Interesting info, not essential to undertanding the piece or the artist",No
718,"Portrait of Sarah Allen, née Sargent",Copley,John Singleton,1763,306,"Talks about sitter, painted in the colonies, not idealized features, 
American colonists wanted to look like aristocrats, elements of portrait 
copied from Enlish painting, undertones are coming through",Helpful to mention masculinity of the subject,Yes
727,The Attributes of the Arts and the Rewards Which Are Accorded Them,Chardin,Jean-Baptiste-Simeon,1766,306,"Points out compositional elements, artist's process, explains 
the different symbols",A little long but good,Yes
845,Portrait of Mlle. Lange as Danae,"Girodet de 
Roussy-Trioson",Anne-Louise,1799,306,"Describes symbols in the portrait that make fun of the subject 
who complained about the first portrait","Funny, good",Yes
712,Portrait of Mlle. Lange as Danae,"Girodet de 
Roussy-Trioson",Anne-Louise,1799,306,,"""""",X
077,View up the Grand Canal Toward the Rialto,Guardi,Francesco,1785,307,"Points out contrast in style with Canoletto, this one shows working 
people of city vs. aristocracy, precursor to impressionism",,Yes
079,The Grand Canal in Venice from Palazzo Flangini to Campo San Marcuola,Canaletto,,1740,307,"Talks about artist who painted Venice a lot, colors, sense of clear 
crisp atmosphere, talks about when he went to England",Helps get into the mind of the artist,Yes
086,The Sleeping Congregation,Hogarth,William,1728,307,"Stood out from other painters at time, interested in middle and 
lower classes, poking fun",No audio available online,X
130,Ganymede and the Eagle,Thorvaldsen,Bertel,1817,307,Talks about story behind subject matter,Basically same as label,No
931,Ganymede and the Eagle,Thorvaldsen,Bertel,1817,307,,"""""",X
515,"Imaginary Landscape, Italian Harbor Scene",Vernet,Claude-Joseph,1746,307,"Looks closer to see the scene is a combination of different places 
in Italy, souvenir for people on tour of Europe",Impressionable info,Yes
698,Self-Portrait,de Mura,Francesco,1740,307,"Details of official portraiture, colors of the background, artist 
advertising his skill",Almost irrelevant,No
707,"Pope Benedict XIV presenting the Encyclical 'Ex Omnibus' 
to the Comte de Stainville, later Duc de Choiseul",Batoni,Pompeo Giralomo,1757,307,"Ficticious rendering of historic event, ",A little short,No
708,Head of a Philosopher,Tiepolo,Domenico,1755,307,"Talks about artist's process, pagan philosophers in limbo",Very interesting info not discussed on label,Yes
710,Pier Table,Piranesi,Giovanni Battista,1768,307,"Describes details of the legs, skulls which go back to ancient 
classical sculpture",No audio available online,X
