audio_stop_number,object_id,media_url,title,in_gallery_version,stop_type,Summary,Comments,Keep?,media_url,audio file URL, collections URL,media_url
960,31146,w142.mp3,Sunburst by Dale Chihuly,0,,"Talks about the artist's work process, details about the weight of the object","Interesting ""fun facts""",Yes,w142.mp3,https://audio-tours.s3.amazonaws.com/w142.mp3,http://collections.artsmia.org/art/31146,
960,31146,w960.mp3,Sunburst by Dale Chihuly,0,,"Talks about the artist's work process, details about the weight of the object","Interesting ""fun facts""",Yes,w960.mp3,https://audio-tours.s3.amazonaws.com/w960.mp3,http://collections.artsmia.org/art/31146,
000,,p000.mp3,Guatemalan Textiles Panel,1,quick,,,,p000.mp3,https://audio-tours.s3.amazonaws.com/p000.mp3,http://collections.artsmia.org/art/,
001,83645,p001.mp3,"Perugini, I know a maiden fair to see",1,quick,,,,p001.mp3,https://audio-tours.s3.amazonaws.com/p001.mp3,http://collections.artsmia.org/art/83645,
005,2903,p005.mp3,"Bierstadt, The Merced River",1,quick,Discusses Bierstadt's experiences in Yosemite,"I liked how it encouraged you to compare this
work with the scroll paintings in the Chinese
galleries. ",Yes,p005.mp3,https://audio-tours.s3.amazonaws.com/p005.mp3,http://collections.artsmia.org/art/2903,
006,303,p006.mp3,"Koehler, Rainy Evening on Henn Ave.",1,quick,"Important artist in Minneapolis, describes figures, points out old library",Meh.,No,p006.mp3,https://audio-tours.s3.amazonaws.com/p006.mp3,http://collections.artsmia.org/art/303,
007,,p007.mp3,"Volk, Portrait of John Bradstreet",1,quick,,No audio available online,X,p007.mp3,https://audio-tours.s3.amazonaws.com/p007.mp3,http://collections.artsmia.org/art/,
008,12138,p008.mp3,Bust of Diana,1,quick,"Gives a more in depth telling of the story behind Diana's connection 
with John Bradstreet. ",,Yes,p008.mp3,https://audio-tours.s3.amazonaws.com/p008.mp3,http://collections.artsmia.org/art/12138,
010,10513,p010.mp3,"Ault, Brook in the Mountains",1,quick,,,,p010.mp3,https://audio-tours.s3.amazonaws.com/p010.mp3,http://collections.artsmia.org/art/10513,
011,,p011.mp3,Medieval,1,quick,,,,p011.mp3,https://audio-tours.s3.amazonaws.com/p011.mp3,http://collections.artsmia.org/art/,
012,,p012.mp3,17th & 18th C,1,quick,,,,p012.mp3,https://audio-tours.s3.amazonaws.com/p012.mp3,http://collections.artsmia.org/art/,
014,63571,p014.mp3,"Biedermeier, Secretary",1,quick,,,,p014.mp3,https://audio-tours.s3.amazonaws.com/p014.mp3,http://collections.artsmia.org/art/63571,
015,2796,p015.mp3,Crazy Quilt,1,quick,,,,p015.mp3,https://audio-tours.s3.amazonaws.com/p015.mp3,http://collections.artsmia.org/art/2796,
016,2505,p016.mp3,"Read, Portrait of a Boy",1,quick,"Genre of paintings -- portraits of dead children, symbols of death",Almost exactly the same as the label,No,p016.mp3,https://audio-tours.s3.amazonaws.com/p016.mp3,http://collections.artsmia.org/art/2505,
018,83749,p018.mp3,Jacquard Coverlet,1,quick,,,,p018.mp3,https://audio-tours.s3.amazonaws.com/p018.mp3,http://collections.artsmia.org/art/83749,
019,,p019.mp3,Quilt,1,quick,,,,p019.mp3,https://audio-tours.s3.amazonaws.com/p019.mp3,http://collections.artsmia.org/art/,
020,,p020.mp3,Dualism & Feline Egypt God Figures,1,quick,,,,p020.mp3,https://audio-tours.s3.amazonaws.com/p020.mp3,http://collections.artsmia.org/art/,
021,1234,p021.mp3,"Monet, Seashore at Sainte-Adresse",1,quick,,,,p021.mp3,https://audio-tours.s3.amazonaws.com/p021.mp3,http://collections.artsmia.org/art/1234,
022,4194,p022.mp3,"Rodin, The Cathedral",1,quick,,,,p022.mp3,https://audio-tours.s3.amazonaws.com/p022.mp3,http://collections.artsmia.org/art/4194,
023,,p023.mp3,"Auguste, Study for Burgher of Calais",1,quick,,,,p023.mp3,https://audio-tours.s3.amazonaws.com/p023.mp3,http://collections.artsmia.org/art/,
024,802,p024.mp3,"Cezanne, Chestnut Trees",1,quick,,,,p024.mp3,https://audio-tours.s3.amazonaws.com/p024.mp3,http://collections.artsmia.org/art/802,
025,129,p025.mp3,"Pissarro, Place du Theatre",1,quick,,,,p025.mp3,https://audio-tours.s3.amazonaws.com/p025.mp3,http://collections.artsmia.org/art/129,
026,3903,p026.mp3,"Degas, Woman in Tub",1,quick,,,,p026.mp3,https://audio-tours.s3.amazonaws.com/p026.mp3,http://collections.artsmia.org/art/3903,
027,1414,p027.mp3,"Signac, Snow, Boulevard de Clichy",1,quick,,,,p027.mp3,https://audio-tours.s3.amazonaws.com/p027.mp3,http://collections.artsmia.org/art/1414,
028,30788,p028.mp3,"Brocard, Two Handled Flasks",1,quick,,,,p028.mp3,https://audio-tours.s3.amazonaws.com/p028.mp3,http://collections.artsmia.org/art/30788,
029,214,p029.mp3,"Deck, Faince Vase",1,quick,,,,p029.mp3,https://audio-tours.s3.amazonaws.com/p029.mp3,http://collections.artsmia.org/art/214,
030,5431,p030.mp3,"Prignot, Etruscan Table",1,quick,,,,p030.mp3,https://audio-tours.s3.amazonaws.com/p030.mp3,http://collections.artsmia.org/art/5431,
031,1510,p031.mp3,"Gerome, Young Greeks in the Mosque",1,quick,,,,p031.mp3,https://audio-tours.s3.amazonaws.com/p031.mp3,http://collections.artsmia.org/art/1510,
032,2135,p032.mp3,"Bouguereau, Temptation",1,quick,,,,p032.mp3,https://audio-tours.s3.amazonaws.com/p032.mp3,http://collections.artsmia.org/art/2135,
033,2564,p033.mp3,"Ittenbach, Madonna & Child",1,quick,,,,p033.mp3,https://audio-tours.s3.amazonaws.com/p033.mp3,http://collections.artsmia.org/art/2564,
034,2607,p034.mp3,"Coleman, The Bronze Horses of San Marco",1,quick,Discusses the choice of subject,"Enjoyed likening the painting to a ""postcard""",Yes,p034.mp3,https://audio-tours.s3.amazonaws.com/p034.mp3,http://collections.artsmia.org/art/2607,
