"audio_stop_number","object_id","media_url","title","in_gallery_version","stop_type","","","",""
"960","31146","w142.mp3","Sunburst by Dale Chihuly","0","","","","",""
"960","31146","w960.mp3","Sunburst by Dale Chihuly","0","","","","",""
"000","","p000.mp3","Guatemalan Textiles Panel","1","quick","","","",""
"001","83645","p001.mp3","Perugini, I know a maiden fair to see","1","quick","","","",""
"005","2903","p005.mp3","Bierstadt, The Merced River","1","quick","","","",""
"006","303","p006.mp3","Koehler, Rainy Evening on Henn Ave.","1","quick","","","",""
"007","","p007.mp3","Volk, Portrait of John Bradstreet","1","quick","","","",""
"008","12138","p008.mp3","Bust of Diana","1","quick","","","",""
"010","10513","p010.mp3","Ault, Brook in the Mountains","1","quick","","","",""
"011","","p011.mp3","Medieval","1","quick","","","",""
"012","","p012.mp3","17th & 18th C","1","quick","","","",""
"014","63571","p014.mp3","Biedermeier, Secretary","1","quick","","","",""
"015","2796","p015.mp3","Crazy Quilt","1","quick","","","",""
"016","2505","p016.mp3","Read, Portrait of a Boy","1","quick","","","",""
"018","83749","p018.mp3","Jacquard Coverlet","1","quick","","","",""
"019","","p019.mp3","Quilt","1","quick","","","",""
"020","","p020.mp3","Dualism & Feline Egypt God Figures","1","quick","","","",""
"021","1234","p021.mp3","Monet, Seashore at Sainte-Adresse","1","quick","","","",""
"022","4194","p022.mp3","Rodin, The Cathedral","1","quick","","","",""
"023","","p023.mp3","Auguste, Study for Burgher of Calais","1","quick","","","",""
"024","802","p024.mp3","Cezanne, Chestnut Trees","1","quick","","","",""
"025","129","p025.mp3","Pissarro, Place du Theatre","1","quick","","","",""
"026","3903","p026.mp3","Degas, Woman in Tub","1","quick","","","",""
"027","1414","p027.mp3","Signac, Snow, Boulevard de Clichy","1","quick","","","",""
"028","30788","p028.mp3","Brocard, Two Handled Flasks","1","quick","","","",""
"029","214","p029.mp3","Deck, Faince Vase","1","quick","","","",""
"030","5431","p030.mp3","Prignot, Etruscan Table","1","quick","","","",""
"031","1510","p031.mp3","Gerome, Young Greeks in the Mosque","1","quick","","","",""
"032","2135","p032.mp3","Bouguereau, Temptation","1","quick","","","",""
"033","2564","p033.mp3","Ittenbach, Madonna & Child","1","quick","","","",""
"034","2607","p034.mp3","Coleman, The Bronze Horses of San Marco","1","quick","","","",""
"035","1397","p035.mp3","Millet, Seated Shepherdess","1","quick","","","",""
"036","2224","p036.mp3","Carpeaux, Les Trois Graces","1","quick","","","",""
"037","1977","p037.mp3","Corot, Silenus","1","quick","","","",""
"038","60157","p038.mp3","Huet, Caretakers Cottage","1","quick","","","",""
"039","2810","p039.mp3","Barye, Panther Devouring a Rabbit","1","quick","","","",""
"040","","p040.mp3","Egyptian Eye Symbols","1","quick","","","",""
"041","4946","p041.mp3","Chapuis, Etruscan-Style Chairs","1","quick","","","",""
"042","2494","p042.mp3","Chinard, Bust of General Brue","1","quick","","","",""
"043","","p043.mp3","Gericault, Portrait of a Young Man","1","quick","","","",""
"044","58","p044.mp3","West, Destruction of the Beast and the False Prophet","1","quick","","","",""
"045","3061","p045.mp3","Thomire, Clock with Vestals","1","quick","","","",""
"046","1664","p046.mp3","Reynolds, The Child Baptist in the Wilderness","1","quick","","","",""
"047","1838","p047.mp3","Unknown, Lady at her Toilette","1","quick","","","",""
"049","453","p049.mp3","Caffieri, Portrait Bust of M. de Neuville","1","quick","","","",""
"059","","p059.mp3","20th C Textiles Panel - Jack Lenor Larsen","1","quick","","","",""
"070","61823","p070.mp3","Landscape with Scholar Viewing a Waterfall","1","quick","","","",""
"077","1317","p077.mp3","Guardi, View up the Grand Canal","1","quick","","","",""
"078","1435","p078.mp3","Basin with Hercules and Cacus","1","quick","","","",""
"079","1673","p079.mp3","Caneletto, The Grand Canal","1","quick","","","",""
"080","108926","p080.mp3","Claesz, Still LIfe","1","quick","","","",""
"081","2808","p081.mp3","Wouwerman, Merry and Rowdy Peasants","1","quick","","","",""
"083","3156","p083.mp3","Chantilly Factory, Bust of Louis XV","1","quick","","","",""
"084","2603","p084.mp3","Cressent, Commode","1","quick","","","",""
"085","2730","p085.mp3","Feilt, Lady's Writing Desk","1","quick","","","",""
"086","","p086.mp3","Hogarth, The Sleeping Congregation","1","quick","","","",""
"088","1726","p088.mp3","Rube, Hebe and the Eagle of Jupiter","1","quick","","","",""
"089","1959","p089.mp3","Clesinger, Bacchante and Faun","1","quick","","","",""
"090","3276","p090.mp3","Belleuse, Love and Friendship","1","quick","","","",""
"091","1934","p091.mp3","Courbet, Chateau at Ornans","1","quick","","","",""
"092","4284","p092.mp3","Crema, Triptych: Prisoners of the Mtn. Mist","1","quick","","","",""
"093","","p093.mp3","Reiber, Clock","1","quick","","","",""
"094","4381","p094.mp3","Herter Brothers, Chest of Drawers w/ Mirror","1","quick","","","",""
"095","1417","p095.mp3","Vuillard, The Sunny Room","1","quick","","","",""
"096","1416","p096.mp3","Vuillard, Place St. Augustin","1","quick","","","",""
"097","1477","p097.mp3","Signac, Blessing of the Tuna Fleet","1","quick","","","",""
"098","5373","p098.mp3","Wheel Lock Rifles","1","quick","","","",""
"099","3589","p099.mp3","Mignard, Venus and Adonis","1","quick","","","",""
"100","7020","p100.mp3","Marinari, Salome with Head of St John the Baptist","1","quick","","","",""
"101","3385","p101.mp3","Standing Figure w/Pan Pipes","1","quick","","","",""
"102","4042","p102.mp3","Tevau, (feather currency)","1","quick","","","",""
"103","177","p103.mp3","Tahiti, Turtle","1","quick","","","",""
"105","","p105.mp3","Scholar's Study","1","quick","","","",""
"106","4324","p106.mp3","Jade Mountain  (2 labels)","1","quick","","","",""
"107","","p107.mp3","Landscape of the Four Seasons Screen","1","quick","","","",""
"108","1602","p108.mp3","White Herons in Plum and Willow screen","1","quick","","","",""
"109","676","p109.mp3","A King Picnicking in the Mountains","1","quick","","","",""
"110","611","p110.mp3","Winged Genius","1","quick","","","",""
"112","1235","p112.mp3","Luba, Dance Mask","1","quick","","","",""
"113","4855","p113.mp3","Mangbetu, Vessel in Shape of Female Head","1","quick","","","",""
"114","4030","p114.mp3","Yombe, Mother and Child","1","quick","","","",""
"115","1854","p115.mp3","Kongo, Nkisi Nkondi","1","quick","","","",""
"116","5637","p116.mp3","Bwa, Plank Mask","1","quick","","","",""
"117","3210","p117.mp3","Diptych with scenes from the life of Christ","1","quick","","","",""
"120","","p120.mp3","Southwest Pottery and Basketry Panel","1","quick","","","",""
"122","","p122.mp3","Great Plains Region Panel","1","quick","","","",""
"123","","p123.mp3","Ernest Whiteman, Untitled","1","quick","","","",""
"124","4418","p124.mp3","Gabriel Metsu, Portrait of a Lady","1","quick","","","",""
"125","5747","p125.mp3","Claude Lorrain, Pastoral Landscape","1","quick","","","",""
"126","1348","p126.mp3","Nicolas Poussin, The Death of Germanicus","1","quick","","","",""
"127","529","p127.mp3","Rembrandt van Rijn, Lucretia","1","quick","","","",""
"128","","p128.mp3","Pierre-Paul Prud'hon, The Union of Love and Friendship","1","quick","","","",""
"129","1451","p129.mp3","Paul de Lamerie, Wine cistern","1","quick","","","",""
"130","1629","p130.mp3","Bertel Thorvaldsen, Ganymede and the Eagle","1","quick","","","",""
"131","1226","p131.mp3","Francisco de Goya, Self-Portrait with Dr. Arrieta","1","quick","","","",""
"132","53","p132.mp3","Gustave Courbet, Deer in the Forest","1","quick","","","",""
"133","","p133.mp3","Claude Monet, Grainstack: Sun in the Mist","1","quick","","","",""
"134","1218","p134.mp3","Vincent van Gogh, Olive Trees","1","quick","","","",""
"136","1239","p136.mp3","Rodin, The Age of Bronze","1","quick","","","",""
"137","601","p137.mp3","Paul Gauguin, Under the Pandanus","1","quick","","","",""
"140","","p140.mp3","Revere, Tea service","1","quick","","","",""
"141","6785","p141.mp3","Attribued to August Thonet,  Rocking chaise","1","quick","","","",""
"144","31247","p144.mp3","McKim, Mead, White, Model of original scheme for the MIA","1","quick","","","",""
"145","2421","p145.mp3","Aslak Lie, Cupboard","1","quick","","","",""
"146","3363","p146.mp3","Frank Lloyd Wright, Side chair","1","quick","","","",""
"148","1270","p148.mp3","Max Beckmann, Blindman's Buff","1","quick","","","",""
"150","3885","p150.mp3","Bob Thompson, Homage to Nina Simone","1","quick","","","",""
"151","62","p151.mp3","Boudin, Vacationers at the Beach at Trouville","1","quick","","","",""
"157","1341","p157.mp3","Anthony van Dyck, The Betrayal of Christ","1","quick","","","",""
"164","59614","p164.mp3","Zenshin-an Teahouse","1","quick","","","",""
"167","","p167.mp3","Tsujimura Shiro, Ido-style Teabowl","1","quick","","","",""
"171","","p171.mp3","Chinese Lacquer Panel","1","quick","","","",""
"176","5196","p176.mp3","Scholar in Landscape","1","quick","","","",""
"177","131","p177.mp3","Avalokitesvara, Kuan Yin","1","quick","","","",""
"180","59842","p180.mp3","Ying, Angling in the Shade Amid Summer Trees","1","quick","","","",""
"181","","p181.mp3","Li Liu-fang, Landscape Album","1","quick","","","",""
"182","30702","p182.mp3","Chou Tun-I Gazing Out Over Lotus","1","quick","","","",""
"183","46241","p183.mp3","Money Tree","1","quick","","","",""
"184","30633","p184.mp3","The Monk Ananda","1","quick","","","",""
"185","","p185.mp3","Moon Gate Panel","1","quick","","","",""
"188","3304","p188.mp3","River Landscape","1","quick","","","",""
"194","191","p194.mp3","Fatin-Latour, Portrait of the Artist Alphonse Legros","1","quick","","","",""
"209","62516","p209.mp3","Sinel,  Model S' Scale","1","quick","","","",""
"210","","p210.mp3","Modernism Panel","1","quick","","","",""
"223","","p223.mp3","Louis H. Sullivan, Pair of elevator grilles, frieze & over grille","1","quick","","","",""
"224","","p224.mp3","George Washington Maher, Coffee and Tea Service","1","quick","","","",""
"226","81074","p226.mp3","Hosmer, Medusa Bust","1","quick","","","",""
